Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
48,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
49,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
50,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
51,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
52,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
53,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
54,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
55,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
56,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
57,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
58,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
59,RP 15,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
60,RP 16,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
61,RP 17,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
62,RP 18,462.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
63,RP 19,462.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
64,RP 20,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
65,RP 21,462.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
66,RP 22,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
67,2MSMP,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
68,70SMP,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
69,MURS 1C,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,1.0W,,,,,
70,MURS 2S,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,1.0W,,,,,
71,MURS 3E,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,1.0W,,,,,
72,MURS 4B,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
73,MURS 5G,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
74,NOAA 1,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
75,NOAA 2,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
76,NOAA 3,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
77,NOAA 4,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
78,NOAA 5,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
79,NOAA 6,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
80,NOAA 7,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
